"Application Vendor","Website","Payment Application","Version Number","Application Type","Target Market","Reference Number","Validated According To","Deployment Notes","Revalidate Date","Expiry Date","Validated by PA-QSA","Description"
"Ability Commerce","","Ability CCS","4.0","POS Suite/General","Multichannel marketers, mail order catalog and internet retail merchants","16-01.00694.002","PA-DSS v3.1","Acceptable for New Deployments","18 Apr 2018","28 Oct 2019","Coalfire Systems, Inc","Ability CCS is a comprehensive, integrated order management system from multichannel marketing software developer Ability Commerce. This state-of-the-art software streamlines the order entry, inventory, shipping promotional and customer data process from the call center, web channel, Amazon and POS seamlessly, simplifying workflow and letting management focus on business growth. Ability Commerce's CCS automatically detects your manual changes to the system and updates all of your sales channels and related software. The retail store, website, catalog and phone sales channels all become linked, resulting in a truly complete back-end solution."
"Ability Commerce","","Ability OMS","3.0","POS Suite/General","Multichannel marketers, mail order catalog and internet retail merchants","12-01.00694.001","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","21 Jun 2013","28 Oct 2016","HALOCK Security Labs","Ability OMS is a comprehensive, integrated order management system from multichannel marketing software developer Ability Commerce. This state-of-the-art software streamlines the order entry, inventory, shipping promotional and customer data process from the call center, web channel, Amazon and POS seamlessly, simplifying workflow and letting management focus on business growth. Ability Commerce's OMS automatically detects your manual changes to the system and updates all of your sales channels and related software.  The retail store, website, catalog and phone sales channels all become linked, resulting in a truly complete back-end solution. By pairing Ability OMS with Ability Commerce's SmartSite, retailers can streamline the entire ecommerce process with just a few clicks. To learn more, please call 561.330.3151 or visit http://www.abilitycommerce.com."
"Ability Commerce","","Ability OMS","3.1","POS Suite/General","Multichannel marketers, mail order catalog and internet retail merchants","12-01.00694.001.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","24 Oct 2016","28 Oct 2016","HALOCK Security Labs","Ability OMS is a comprehensive, integrated order management system from multichannel marketing software developer Ability Commerce. This state-of-the-art software streamlines the order entry, inventory, shipping promotional and customer data process from the call center, web channel, Amazon and POS seamlessly, simplifying workflow and letting management focus on business growth. Ability Commerce's OMS automatically detects your manual changes to the system and updates all of your sales channels and related software.  The retail store, website, catalog and phone sales channels all become linked, resulting in a truly complete back-end solution. By pairing Ability OMS with Ability Commerce's SmartSite, retailers can streamline the entire ecommerce process with just a few clicks. To learn more, please call 561.330.3151 or visit http://www.abilitycommerce.com."
"Abison","www.abison.com","Comprehensive Commerce Suite (Fulfillment Only)","2.5","Payment Back Office","","09-04.00280.001","PABP 1.4","Acceptable only for Pre-Existing Deployments","2 Dec 2010","2 Mar 2011","Fortrex","Geared toward any business that warehouses, sells and ships or drop-ships its products and goods; two piece system comprised of a fulfillment and web component, the assessment only covers the fulfillment component"
"Able Solutions Corporation","","AbleCommerce Gold R10 SR1","7.0.90.8620","Shopping Cart &amp; Store Front","Retail, e-Commerce, Small/Medium Merchants, Enterprise B2C and B2B","15-09.01026.001","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","4 Nov 2016","28 Oct 2019","ControlCase, LLC","AbleCommerce  a complete shopping cart software application for any business selling goods or services through a website.  Designed for merchants processing any number of orders, and scalable for enterprise level businesses.  Written using industry standard Microsoft Asp.Net with MS-SQL database.  A+ rating through the BBB and over 20 years doing e-commerce software sales and support."
"Able Solutions Corporation","","AbleCommerce Gold R11","7.0.91.8643","Shopping Cart &amp; Store Front","Retail, e-Commerce, Small/Medium Merchants, Enterprise B2C and B2B","15-09.01026.001.aaa","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","16 Dec 2016","28 Oct 2019","ControlCase, LLC","AbleCommerce  a complete shopping cart software application for any business selling goods or services through a website.  Designed for merchants processing any number of orders, and scalable for enterprise level businesses.  Written using industry standard Microsoft Asp.Net with MS-SQL database.  A+ rating through the BBB and over 20 years doing e-commerce software sales and support."
"Able Solutions Corporation","","AbleCommerce Gold R12","7.0.92.9168","Shopping Cart &amp; Store Front","Retail, e-Commerce, Small/Medium Merchants, Enterprise B2C and B2B","15-09.01026.001.baa","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","26 Jul 2017","28 Oct 2019","ControlCase, LLC","AbleCommerce  a complete shopping cart software application for any business selling goods or services through a website.  Designed for merchants processing any number of orders, and scalable for enterprise level businesses.  Written using industry standard Microsoft Asp.Net with MS-SQL database.  A+ rating through the BBB and over 20 years doing e-commerce software sales and support."
"AbleCommerce","www.ablecommerce.com","AbleCommerce","7","Shopping Cart &amp; Store Front","Internet Merchants","09-09.00699.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","31 Jul 2013","28 Oct 2013","Chief Security Officers","Since 1994, AbleCommerce remains the industry standard for customizable and scalable shopping cart solutions. Merchants and developers alike enjoy the easy-to-use browser administration, while programmers benefit from our clean, modular architecture and fully documented API. With more than 10,000 stores worldwide, AbleCommerce is poised for eCommerce excellence for many years to come."
"ABM Integrated Solutions","www.abmis.ca","MARKET2","4.5.5.0","POS Face-to-Face/POI","Small, Medium, Large retailers","10-08.00321.001","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","SPIGuard Security Solutions Inc.","Market2 is a POS application that collects and passes the basic details required for the CC transaction to MCM where the data is then encrypted and all communication to the payment processor performed. MCM then gives Market2 a response indicating the approval or disapproval of the transaction and what to print on the receipt."
"Accelerated Payment Technologies","www.acceleratedpay.com/","X-Charge Open Integration","7.1","Payment Middleware","Retail Establishments","10-02.00677.005","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","27 Sep 2012","28 Oct 2013","K3DES, LLC","X-Charge Open Integration is back-end card processing software that helps POS applications to easily process credit card, debit, gift, and check transactions using software that is hosted on the retailer's computers.  X-Charge Open Integration accepts transaction requests from many different POS applications and processes these transactions using SSL or modem connections.  Retailers are provided tools and reports to easily and securely manage their credit card processing needs."
"Accelerated Payment Technologies","www.acceleratedpay.com/","X-Charge Payment Processing","7.0","Payment Middleware","Retail, Restaurant, MOTO, eCommerce","09-02.00677.003","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","1 Jun 2012","28 Oct 2013","K3DES, LLC","Secure payment solution for both integrated and stand-alone processing of credit, debit, check and gift card transactions, providing secure integration methods."
"Accelerated Payment Technologies","www.acceleratedpay.com/","X-Charge","7.1","Payment Middleware","Retail, Restaurant, MOTO, eCommerce","10-02.00677.004","PA-DSS v1.2","Acceptable only for Pre-Existing Deployments","5 Aug 2012","28 Oct 2013","K3DES, LLC","Secure payment solution for both integrated and stand-alone processing of credit, debit, check and gift card transactions, providing secure integration methods."
